"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Datum gestartet","Datum letzte Aktivität","Weiterleitungs-URL","Projekt / Project","Datenerhebung / Data collection?","Welche Komponenten sollen durchgeführt werden / Which components should be executed?","Versuchspersonen-ID / Participant-ID","Stichprobe / Sample","Bitte Audio überprüfen / Please check if audio works","Bitte mit [F11] in den Vollbildmodus wechseln / Please press [F11] to switch to full screen mode","Als nächstes möchten wir Sie bitten, verschiedene Aufgaben und Fragebögen am Computer zu bearbeiten.  Die Bearbeitungsdauer beträgt insgesamt ca. 40 min.     Bitte bearbeiten Sie zunächst einige Aufgaben,  die unterschiedliche Aspekte Ihres Denkens testen (z.B. das Gedächtnis oder Problemlösefähigkeiten).     Bitte versuchen Sie, jede Aufgabe so gut wie möglich zu bearbeiten.     Manchmal kann es einen Moment dauern, bis die nächste Aufgabe startet.  Jede Aufgabe wird Ihnen zunächst erklärt und Sie bekommen die Gelegenheit, sie zu üben.  Falls Sie zwischendrin eine kurze Pause einlegen möchten, tun Sie dies bitte zwischen den Aufgaben.     Bitte klicken Sie auf ""Absenden"", um die erste Aufgabe zu starten.      ","Als nächstes möchten wir dich bitten, verschiedene Aufgaben und Fragebögen am Computer zu bearbeiten.  Die Bearbeitungsdauer beträgt insgesamt ca. 40 min.     Bitte bearbeite zunächst einige Aufgaben,  die unterschiedliche Aspekte deines Denkens testen (z.B. das Gedächtnis oder Problemlösefähigkeiten).     Bitte versuche, jede Aufgabe so gut wie möglich zu bearbeiten.     Manchmal kann es einen Moment dauern, bis die nächste Aufgabe startet.  Jede Aufgabe wird dir zunächst erklärt und du bekommst die Gelegenheit, sie zu üben.  Falls du zwischendrin eine kurze Pause einlegen möchtest, tue dies bitte zwischen den Aufgaben.     Bitte klicke auf ""Absenden"", um die erste Aufgabe zu starten.      ","Als nächstes möchten wir dich bitten, verschiedene Aufgaben und Fragebögen am Computer zu bearbeiten.  Die Bearbeitungsdauer beträgt insgesamt ungefähr 25 min.     Bitte bearbeite zunächst einige Aufgaben,  die unterschiedliche Aspekte deines Denkens testen (z.B. das Gedächtnis oder Problemlösefähigkeiten).     Bitte versuche, jede Aufgabe so gut wie möglich zu bearbeiten.     Manchmal kann es einen Moment dauern, bis die nächste Aufgabe startet.  Jede Aufgabe wird dir zunächst erklärt und du bekommst die Gelegenheit, sie zu üben.  Falls du zwischendrin eine kurze Pause einlegen möchtest, tue dies bitte zwischen den Aufgaben.     Bitte klicke auf ""Absenden"", um die erste Aufgabe zu starten.      ","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id={vpid}&amp;p={project}&amp;comp={components}","https://umfragen.uni-hamburg.de/ru5389bb2quest?id={vpid}&amp;p={project} ","https://www.psytoolkit.org/c/3.4.4/survey?s=xAZS7&amp;id={vpid}&amp;p={project}&amp;comp={components} ","https://umfragen.uni-hamburg.de/ru5389bb2questadols?id={vpid}&amp;p={project} ","https://umfragen.uni-hamburg.de/ru5389bb2questchildren?id={vpid}&amp;p={project}&amp;form={sample} ","https://www.psytoolkit.org/c/3.4.4/survey?s=MsrpN&amp;id={vpid}&amp;p={project}&amp;form={sample}&amp;comp={components}","https://umfragen.uni-hamburg.de/ru5389bb2questparents?id={vpid}&amp;p={project}&amp;form={sample}","Gesamtzeit","Gruppenzeit: ID","Fragenzeit: project","Fragenzeit: datacollection","Fragenzeit: components","Fragenzeit: vpid","Fragenzeit: sample","Fragenzeit: Audio","Fragenzeit: F11","Gruppenzeit: Info","Fragenzeit: InfoAdults","Fragenzeit: InfoAdols","Fragenzeit: InfoChild","Fragenzeit: URLCognAdults","Fragenzeit: URLQuestAdults","Fragenzeit: URLCognAdols","Fragenzeit: URLQuestAdols","Fragenzeit: URLQuestChild","Fragenzeit: URLCognChild","Fragenzeit: URLQuestParent"
"65","","","de","242964279","2024-05-14 14:50:49","2024-05-14 14:50:49","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"66","2024-05-15 13:49:01","2","de","2081110193","2024-05-15 13:48:13","2024-05-15 13:49:01","","P7(Riesel & Lincoln)","PilotierungPilot","Nur die FragebögenQuestionnaires only","79001","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=79001&amp;p=7","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=79001&amp;p=7","","","","","","48.82","48.82","","","","","","","","","","","","","","","","","",""
"67","2024-05-15 14:32:21","2","de","1781753505","2024-05-15 14:31:34","2024-05-15 14:32:21","","P8(Lüken, Asbrand & Bruckner)","Testing modeNo data collection","Fragebögen und DenkaufgabenBoth questionnaires and cognitive tasks","8008","","erledigt / done","erledigt / done","","","","","","","","","","","47.96","45.41","","","","","","","","2.55","","","","","","","","","",""
"68","2024-05-15 14:32:55","2","de","1226386857","2024-05-15 14:32:34","2024-05-15 14:32:55","","P8(Lüken, Asbrand & Bruckner)","Testing modeNo data collection","Nur die DenkaufgabenCognitive tasks only","8008","","erledigt / done","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=8008&amp;p=8","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=8008&amp;p=8","","","","","","20.8","18.74","","","","","","","","2.06","","","","","","","","","",""
"69","","","de","27347688","2024-05-15 14:55:06","2024-05-15 14:55:06","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"70","","","de","543876672","2024-05-17 08:55:00","2024-05-17 08:55:00","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"71","","","de","185346179","2024-05-17 09:56:21","2024-05-17 09:56:21","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"72","","","de","1439106592","2024-05-17 09:56:21","2024-05-17 09:56:21","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"73","2024-05-18 16:20:32","2","de","1609365284","2024-05-18 16:20:15","2024-05-18 16:20:32","https://umfragen.uni-hamburg.de/index.php/questionAdministration/view?surveyid=415148&gid=19345&qid=413759","Testing mode(No actual data collection)","Testing modeNo data collection","Nur die FragebögenQuestionnaires only","99999","","","erledigt / done","","","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=xAZS7&amp;id=99999&amp;p=99","https://umfragen.uni-hamburg.de/ru5389bb2questadols?id=99999&amp;p=99","","","","17.69","17.69","","","","","","","","","","","","","","","","","",""
"74","2024-05-18 16:22:31","2","de","2066017185","2024-05-18 16:22:13","2024-05-18 16:22:31","https://umfragen.uni-hamburg.de/index.php/questionAdministration/view?surveyid=415148&gid=19344&qid=411810","Testing mode(No actual data collection)","Testing modeNo data collection","Nur die FragebögenQuestionnaires only","99999","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=99999&amp;p=99","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=99999&amp;p=99","","","","","","17.46","17.46","","","","","","","","","","","","","","","","","",""
"75","2024-05-18 16:22:59","2","de","1834417635","2024-05-18 16:22:41","2024-05-18 16:22:59","https://umfragen.uni-hamburg.de/index.php/questionAdministration/view?surveyid=415148&gid=19344&qid=411810","Testing mode(No actual data collection)","Testing modeNo data collection","Nur die FragebögenQuestionnaires only","99999","","","erledigt / done","","","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=xAZS7&amp;id=99999&amp;p=99","https://umfragen.uni-hamburg.de/ru5389bb2questadols?id=99999&amp;p=99","","","","18.7","18.7","","","","","","","","","","","","","","","","","",""
"76","2024-05-18 16:24:11","2","de","1919753471","2024-05-18 16:24:00","2024-05-18 16:24:11","","Testing mode(No actual data collection)","Testing modeNo data collection","Nur die FragebögenQuestionnaires only","99999","","","erledigt / done","","","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=xAZS7&amp;id=99999&amp;p=99","https://umfragen.uni-hamburg.de/ru5389bb2questadols?id=99999&amp;p=99","","","","11.81","11.81","","","","","","","","","","","","","","","","","",""
"77","","","de","828750494","2024-05-21 12:07:19","2024-05-21 12:07:19","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"78","2024-05-21 14:12:04","2","de","640824888","2024-05-21 14:11:00","2024-05-21 14:12:04","","P7(Riesel & Lincoln)","PilotierungPilot","Nur die FragebögenQuestionnaires only","79002","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=79002&amp;p=7","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=79002&amp;p=7","","","","","","64.03","64.03","","","","","","","","","","","","","","","","","",""
"79","2024-05-22 09:07:10","2","de","177505211","2024-05-22 08:42:16","2024-05-22 09:07:09","","P7(Riesel & Lincoln)","PilotierungPilot","Nur die FragebögenQuestionnaires only","79003","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=79003&amp;p=7","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=79003&amp;p=7","","","","","","1494","1494","","","","","","","","","","","","","","","","","",""
"80","2024-05-23 09:13:10","2","de","2084136520","2024-05-23 09:00:55","2024-05-23 09:13:10","","P7(Riesel & Lincoln)","PilotierungPilot","Nur die FragebögenQuestionnaires only","79004","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=79004&amp;p=7","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=79004&amp;p=7","","","","","","735.82","735.82","","","","","","","","","","","","","","","","","",""
"81","2024-05-23 15:04:21","2","de","1695930564","2024-05-23 15:03:54","2024-05-23 15:04:21","","P7(Riesel & Lincoln)","PilotierungPilot","Nur die FragebögenQuestionnaires only","79005","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=79005&amp;p=7","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=79005&amp;p=7","","","","","","27.67","27.67","","","","","","","","","","","","","","","","","",""
"82","2024-05-28 08:15:03","2","de","1368026638","2024-05-28 07:57:05","2024-05-28 08:15:03","","P7(Riesel & Lincoln)","PilotierungPilot","Nur die FragebögenQuestionnaires only","79006","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=79006&amp;p=7","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=79006&amp;p=7","","","","","","1077.92","1077.92","","","","","","","","","","","","","","","","","",""
"83","","1","de","1849794169","2024-05-28 10:18:49","2024-05-28 10:24:26","","P8(Lüken, Asbrand & Bruckner)","Testing modeNo data collection","Nur die FragebögenQuestionnaires only","99999","","","erledigt / done","","","","","","","","","","","337.64","337.64","","","","","","","","","","","","","","","","","",""
"84","","","de","2014668514","2024-05-29 10:38:13","2024-05-29 10:38:13","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"85","2024-05-29 10:49:48","2","de","1943019088","2024-05-29 10:49:31","2024-05-29 10:49:48","","P8(Lüken, Asbrand & Bruckner)","Testing modeNo data collection","Nur die FragebögenQuestionnaires only","99999","","","erledigt / done","","","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=xAZS7&amp;id=99999&amp;p=8","https://umfragen.uni-hamburg.de/ru5389bb2questadols?id=99999&amp;p=8","","","","16.21","16.21","","","","","","","","","","","","","","","","","",""
"86","","","de","1548864146","2024-05-29 12:48:18","2024-05-29 12:48:18","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"87","","","de","1543086068","2024-05-29 14:41:29","2024-05-29 14:41:29","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","",""
"88","2024-06-03 15:29:31","2","de","414957046","2024-06-03 15:27:11","2024-06-03 15:29:31","","P7(Riesel & Lincoln)","PilotierungPilot","Nur die FragebögenQuestionnaires only","79007","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=79007&amp;p=7","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=79007&amp;p=7","","","","","","140.03","140.03","","","","","","","","","","","","","","","","","",""
"89","2024-06-04 09:10:44","2","de","174930055","2024-06-04 09:09:22","2024-06-04 09:10:44","","P7(Riesel & Lincoln)","PilotierungPilot","Nur die FragebögenQuestionnaires only","79008","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=79008&amp;p=7","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=79008&amp;p=7","","","","","","82.82","82.82","","","","","","","","","","","","","","","","","",""
"90","2024-06-06 09:17:35","2","de","752613878","2024-06-06 09:16:07","2024-06-06 09:17:35","","Testing mode(No actual data collection)","Testing modeNo data collection","Fragebögen und DenkaufgabenBoth questionnaires and cognitive tasks","99999","","erledigt / done","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=99999&amp;p=99","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=99999&amp;p=99","","","","","","89.18","47.51","","","","","","","","41.67","","","","","","","","","",""
"91","2024-06-06 09:18:37","2","de","1964067520","2024-06-06 09:18:17","2024-06-06 09:18:37","","Testing mode(No actual data collection)","Testing modeNo data collection","Nur die FragebögenQuestionnaires only","99999","","","erledigt / done","","","","https://www.psytoolkit.org/c/3.4.4/survey?s=zvTTg&amp;id=99999&amp;p=99","https://umfragen.uni-hamburg.de/ru5389bb2quest?id=99999&amp;p=99","","","","","","20.81","20.81","","","","","","","","","","","","","","","","","",""
